event_record_id,time_created,provider_name,event_id,level,channel,computer,process,payload,username,src_ip,src_port,action
23,2021-05-21 20:43:03.788799+00:00,OpenSSH,4,4,OpenSSH/Operational,fs01.offsec.lan,sshd,Connection closed by authenticating user admmig 10.23.23.9 port 56589 [preauth],admmig,10.23.23.9,56589,connection_closed
24,2021-05-21 20:43:22.562971+00:00,OpenSSH,4,4,OpenSSH/Operational,fs01.offsec.lan,sshd,Failed password for admmig from 10.23.23.9 port 56605 ssh2,admmig,10.23.23.9,56605,failed_password
25,2021-05-21 20:43:49.345831+00:00,OpenSSH,4,4,OpenSSH/Operational,fs01.offsec.lan,sshd,Failed password for admmig from 10.23.23.9 port 56605 ssh2,admmig,10.23.23.9,56605,failed_password
26,2021-05-21 20:43:50.132059+00:00,OpenSSH,4,4,OpenSSH/Operational,fs01.offsec.lan,sshd,Failed password for admmig from 10.23.23.9 port 56605 ssh2,admmig,10.23.23.9,56605,failed_password
27,2021-05-21 20:43:50.607086+00:00,OpenSSH,4,4,OpenSSH/Operational,fs01.offsec.lan,sshd,Failed password for admmig from 10.23.23.9 port 56605 ssh2,admmig,10.23.23.9,56605,failed_password
28,2021-05-21 20:43:50.866196+00:00,OpenSSH,4,4,OpenSSH/Operational,fs01.offsec.lan,sshd,Failed password for admmig from 10.23.23.9 port 56605 ssh2,admmig,10.23.23.9,56605,failed_password
29,2021-05-21 20:43:50.869719+00:00,OpenSSH,4,4,OpenSSH/Operational,fs01.offsec.lan,sshd,Disconnecting authenticating user admmig 10.23.23.9 port 56605: Too many authentication failures [preauth],admmig,10.23.23.9,,other
